nrNodes nrCollisions nrTransmissions OverallEnergy nrReceived nrProcessed timeToFly
400 5007 268254 46702.0513935 263246 268253 353803419.648
410 4835 274689 47822.3616246 269853 274688 362290618.368
420 5232 281260 48966.3489638 276027 281259 370957189.12
430 5602 288340 50198.9513626 282737 288339 380295086.08
440 5524 295579 51459.2350863 290055 295579 389842690.048
450 6013 302651 52690.444714 296638 302651 399170035.712
460 6323 309889 53950.5543414 303565 309888 408716320.768
470 6388 315467 54921.6639713 309079 315467 416073211.904
480 6718 322555 56155.6591411 315836 322554 425421660.16
490 6776 329055 57287.2856371 322278 329054 433994588.16
500 7523 334865 58298.7856282 327342 334865 441657466.88
